Longitud,Latitud,Tipo
-94.0552,14.2221,A
-93.6558,14.0161,A
-93.6558,14.0161,A
-93.3094,13.7932,A
-93.3094,13.7932,A
-92.9619,13.7221,A
-92.9619,13.7221,A
-92.5992,13.498,A
-92.5992,13.498,A
-92.2724,13.2233,A
-92.2724,13.2233,A
-92.0632,13.2712,A
-92.0632,13.2712,A
-91.7186,13.0801,A
-91.7186,13.0801,A
-91.3079,12.8322,A
-91.3079,12.8322,A
-90.898,12.5837,A
-90.898,12.5837,A
-90.898,12.5837,A
-90.898,12.5837,A
-90.898,12.5837,A
-90.898,12.5837,A
-90.2927,12.5426,A
-90.2927,12.5426,A
-108.669,21.7739,B
-108.669,21.7739,B
-108.784,21.6428,B
-108.784,21.6428,B
-108.868,21.536,B
-108.868,21.536,B
-108.936,21.4513,B
-108.936,21.4513,B
-108.977,21.347,B
-108.977,21.347,B
-108.809,21.2529,B
-108.809,21.2529,B
-108.915,21.0679,B
-108.915,21.0679,B
-109.013,20.949,B
-109.013,20.949,B
-109.111,20.824,B
-109.111,20.824,B
-109.194,20.7392,B
-109.194,20.7392,B
-109.261,20.6426,B
-109.261,20.6426,B
-109.285,20.5584,B
-109.285,20.5584,B
-109.187,20.4995,B
-109.187,20.4995,B
-109.215,20.3973,B
-109.215,20.3973,B
-109.319,20.2423,B
-109.319,20.2423,B
-109.378,20.1757,B
-109.378,20.1757,B
-109.373,20.1418,B
-109.373,20.1418,B
-109.45,20.0271,B
-109.45,20.0271,B
-109.16,19.8065,B
-109.16,19.8065,B
-108.903,19.6255,B
-108.903,19.6255,B
-108.896,19.5496,B
-108.896,19.5496,B
-108.534,19.3837,B
-108.534,19.3837,B
-108.198,19.2235,B
-108.198,19.2235,B
-108.233,19.1073,B
-108.233,19.1073,B
-107.816,18.936,B
-107.816,18.936,B
-107.523,18.8632,B
-107.523,18.8632,B
-107.272,18.7561,B
-107.272,18.7561,B
-107.002,18.6471,B
-107.002,18.6471,B
-106.756,18.5899,B
-106.756,18.5899,B
-106.527,18.5444,B
-106.527,18.5444,B
-106.244,18.5199,B
-106.244,18.5199,B
-106.281,18.2814,B
-106.281,18.2814,B
-106.311,18.1198,B
-106.311,18.1198,B
-106.318,18.0163,B
-106.318,18.0163,B
-106.308,17.929,B
-106.308,17.929,B
-105.586,17.8808,B
-105.586,17.8808,B
-105.586,17.8808,B
-105.586,17.8808,B
-105.586,17.8808,B
-105.586,17.8808,B
-105.51,18.1403,B
-105.51,18.1403,B
-105.442,18.3552,B
-105.442,18.3552,B
-105.352,18.5511,B
-105.352,18.5511,B
-105.399,17.7679,C
-105.399,17.7679,C
-105.367,17.0308,C
-105.367,17.0308,C
-105.398,16.2605,C
-105.398,16.2605,C
-105.357,15.5576,C
-105.357,15.5576,C
-105.32,15.1076,C
-105.32,15.1076,C
-104.69,15.2745,C
-104.69,15.2745,C
-104.563,14.6722,C
-104.563,14.6722,C
-104.437,14.0698,C
-104.437,14.0698,C
-104.181,13.3284,C
-104.181,13.3284,C
-103.927,12.5868,C
-103.927,12.5868,C
-85.6714,16.911,D
-85.6714,16.911,D
-86.3195,16.6945,D
-86.3195,16.6945,D
-86.9661,16.4759,D
-86.9661,16.4759,D
-87.7228,16.2506,D
-87.7228,16.2506,D
-88.351,15.9583,D
-88.351,15.9583,D
-88.8764,15.6222,D
-88.8764,15.6222,D
-89.3716,15.215,D
-89.3716,15.215,D
-89.718,14.8151,D
-89.718,14.8151,D
-90.0373,14.3923,D
-90.0373,14.3923,D
-90.426,13.9172,D
-90.426,13.9172,D
-90.8103,13.3941,D
-90.8103,13.3941,D
